195;80;118;15;20;130
32;43;162;43;43;32
10;10;10;35;35;102
82;82;27;27;27;114
61;73;199;73;61;199
58;196;77;165;58;77
164;53;43;84;104;66
16;178;88;16;178;65
190;62;104;16;104;16
141;78;78;94;94;94
87;87;54;87;54;67
98;190;175;32;32;98
47;14;14;14;47;75
35;167;182;125;120;139
79;62;79;78;79;78
30;30;17;30;54;17
88;88;88;8;8;185
73;60;134;73;73;60
54;35;54;37;37;54
8;8;93;8;93;30
158;117;82;82;122;122
34;136;55;117;160;149
137;51;87;41;146;147
20;33;161;20;20;33
150;44;100;44;100;191
86;86;48;48;60;86
46;21;21;90;92;90
40;27;198;197;76;40
59;74;85;122;189;17
29;128;29;16;16;29
19;41;23;19;23;23
34;8;34;8;8;121
115;192;37;104;146;197
181;90;182;90;95;181
125;85;80;72;72;80
30;83;30;56;83;30
76;76;96;96;33;76
13;25;24;13;13;24
85;85;88;69;85;88
28;36;80;80;36;80
69;71;69;69;180;71
194;103;103;21;21;50
87;67;87;71;67;87
159;175;87;38;38;87
50;84;50;192;84;84
151;14;10;151;10;172
38;37;38;5;38;5
88;178;164;50;178;88
71;23;71;71;23;171
76;18;76;76;18;117
61;67;140;15;29;200
34;126;126;168;17;126
122;122;29;130;29;127
85;28;85;102;28;85
78;19;19;30;30;30
12;114;6;12;12;6
85;20;20;85;85;65
36;184;102;36;12;184
15;63;90;63;15;182
33;36;77;77;33;77
20;161;88;37;150;62
65;57;192;83;46;116
72;72;14;156;41;156
164;68;35;35;68;68
186;81;76;186;76;98
93;136;93;80;80;80
77;58;96;123;150;79
30;54;30;54;169;30
166;19;186;101;81;15
16;113;153;175;51;13
76;58;194;194;74;74
126;126;80;126;135;77
23;22;22;106;22;23
195;47;17;38;193;177
35;35;27;27;35;111
60;92;92;92;141;60
73;100;172;22;100;73
59;17;17;161;59;59
118;168;56;159;56;168
30;64;153;30;192;192
13;81;81;188;188;106
98;49;49;139;49;98
68;68;98;181;98;181
86;170;82;156;119;157
61;56;35;61;61;56
55;36;55;36;55;104
76;199;80;76;199;69
99;178;122;182;191;200
84;84;30;166;30;30
107;129;107;160;56;13
43;13;13;13;91;43
42;35;104;42;106;195
34;34;34;68;68;73
119;44;102;102;45;102
35;157;170;170;60;157
52;118;118;78;78;169
32;70;32;32;32;32
120;152;23;152;182;120
34;172;136;34;125;136
163;172;163;71;164;71
72;51;9;9;51;9
67;92;117;67;117;92
84;106;6;84;84;6
43;173;133;26;136;145
8;93;58;93;8;8
154;19;152;65;97;90
132;96;46;46;96;46
122;182;36;53;113;13
89;118;89;152;152;119
173;173;176;176;40;93
181;92;181;22;92;85
75;21;21;21;139;75
60;72;72;60;60;86
103;103;185;90;177;185
71;42;42;76;76;76
52;115;130;30;29;78
90;35;104;35;90;35
81;94;94;81;94;134
63;146;90;90;63;63
88;170;52;88;88;52
112;112;116;156;116;156
70;148;7;7;7;70
70;22;100;155;22;100
64;130;64;64;96;96
51;159;192;184;28;150
157;157;97;150;150;40
87;87;67;20;67;67
14;146;48;146;48;145
16;117;16;20;16;20
34;98;34;98;34;33
97;132;97;132;59;74
103;49;103;71;62;74
10;91;91;91;10;56
77;77;77;26;148;26
170;44;100;186;114;192
183;65;182;196;195;186
61;61;61;90;90;97
39;144;22;39;22;39
91;100;12;91;12;28
152;75;75;25;25;25
62;99;99;99;64;64
92;81;92;45;45;45
148;148;56;163;56;142
90;120;65;65;90;90
95;137;64;95;64;95
80;56;56;153;63;153
178;117;97;97;117;91
6;19;169;6;19;19
60;75;200;185;57;184
64;175;161;175;116;64
109;36;36;106;106;109
