25;5;34;81
73;80;28;19
89;89;72;69
87;31;28;67
39;44;82;3
67;24;62;30
90;3;19;10
32;54;20;20
52;4;10;30
13;70;40;88
64;25;54;35
14;82;47;34
52;4;73;20
43;71;84;71
54;60;8;73
23;61;32;57
14;59;20;57
58;2;34;7
49;57;6;9
39;28;73;22
38;7;33;5
18;39;38;40
65;51;61;61
87;76;29;81
63;31;57;19
36;85;72;47
48;62;23;67
29;90;48;12
81;25;84;64
40;75;32;65
71;90;2;20
48;77;53;76
41;20;85;87
78;15;73;18
88;80;52;3
77;54;35;13
27;80;54;14
21;27;83;41
3;54;23;82
43;43;86;52
46;61;77;59
82;52;35;51
48;54;61;11
27;54;36;90
90;53;19;79
9;46;73;28
79;86;40;85
8;85;41;2
2;4;42;68
59;76;4;84
72;52;34;78
57;68;12;5
52;66;52;12
60;57;71;11
27;15;13;51
4;71;66;54
12;88;47;4
17;53;78;30
43;21;11;73
74;1;62;11
14;62;65;44
23;14;90;62
63;70;3;33
82;37;50;7
62;55;10;83
26;69;37;19
53;6;30;88
53;61;22;28
88;22;6;81
78;35;30;4
76;78;11;7
29;56;51;22
46;52;25;4
29;87;70;10
47;25;20;13
42;37;6;33
58;9;73;10
34;6;14;76
7;71;11;58
71;29;2;4
3;15;59;59
18;18;9;54
65;83;27;4
46;60;8;49
43;3;41;51
10;34;21;31
24;76;45;38
64;82;18;24
46;43;88;3
19;67;24;69
30;19;19;80
79;65;41;26
42;20;85;30
57;23;39;6
13;78;71;39
26;40;5;47
12;86;61;54
9;55;31;79
7;59;4;25
29;52;48;21
53;13;63;68
87;56;46;6
37;89;70;43
64;40;34;27
78;4;16;42
33;43;69;75
85;62;38;2
14;83;47;55
80;33;74;53
83;11;23;39
65;13;27;1
17;40;51;74
18;47;64;27
34;31;7;69
85;23;10;69
15;31;50;17
70;83;2;53
74;74;87;15
62;88;73;13
10;1;29;48
55;8;39;90
48;14;46;80
8;45;59;22
42;6;61;41
78;37;78;50
26;61;23;89
